分光器规范命名,分光器名称,所属对象名称,分光比,上联分光器名称,主用OLT的PON口,生命周期状态,所属地市,所属区县,资产归属,修改人,创建人,主用OLT,主用OLT名称,主用OLT的PON名称,上联设备备用端口,上级设备是否为POS,上级POS端口,上联分光器端子名称,所属对象类型,位置描述,设备供应商,设备型号,备注,是否合格,错误原因,时间戳,上级POS名称,创建时间,修改时间,删除标识
旧县大吉城五村0单元分纤箱3-POS004-1:8,旧县大吉城五村0单元分纤箱3-POS004-1:8,泰安市东平县旧县镇大吉城五村GF3,1:08,东平县旧县大吉城四村光交箱1-POS001-1:8,NA-NA-12-5,在网运行,泰安,东平县,移动,wangranran,wangranran,172.31.24.29,泰安东平大吉城(农村)-OLT035-FW-AN5516,泰安东平大吉城(农村)-OLT035-FW-AN5516-GC8B[12]-PTP_GPON5,1112926803,是,5,5,光分纤箱,,,,,否,横线前的内容需与所属对象一致;,2018/1/30 8:50,东平县旧县大吉城四村光交箱1-POS001-1:8,,2018/1/30 8:50,
东平县旧县大吉城三村分纤箱2-POS002-1:8,东平县旧县大吉城三村分纤箱2-POS002-1:8,泰安市东平县旧县镇王古店一村16号分纤箱,1:08,东平县旧县镇王古店一村光交箱2-POS002-1:8,NA-NA-12-7,在网运行,泰安,东平县,移动,wangranran,wangranran,172.31.24.29,泰安东平大吉城(农村)-OLT035-FW-AN5516,泰安东平大吉城(农村)-OLT035-FW-AN5516-GC8B[12]-PTP_GPON7,-292752409,是,2,2,光分纤箱,,,,,否,横线前的内容需与所属对象一致;,2018/1/30 8:50,东平县旧县镇王古店一村光交箱2-POS002-1:8,,2018/1/30 8:50,
南驿后李村9号箱-POS009-1:8,南驿后李村9号箱-POS009-1:8,宁阳县磁窑镇南驿后李村GF009,1:08,,1-1-3-7,在网运行,泰安,宁阳县,移动,wangranran,liangyulong,172.31.210.14,泰安宁阳南驿(农村)-OLT197-ZX-C300,泰安宁阳南驿(农村)-OLT197-ZX-C300-3-GTGO-7,2142095503,是,8,,光分纤箱,,,,,否,横线前的内容需与所属对象一致;,2017/5/5 10:16,宁阳县磁窑镇南驿后李村光交2-POS002-1:8,2014/9/11 15:22,2017/5/5 10:16,
南驿后李村11号箱-POS011-1:8,南驿后李村11号箱-POS011-1:8,宁阳县磁窑镇南驿后李村GF011,1:08,,1-1-3-7,在网运行,泰安,宁阳县,移动,wangranran,liangyulong,172.31.210.14,泰安宁阳南驿(农村)-OLT197-ZX-C300,泰安宁阳南驿(农村)-OLT197-ZX-C300-3-GTGO-7,2142095496,是,2,,光分纤箱,,,,,否,横线前的内容需与所属对象一致;,2018/3/31 16:23,宁阳县磁窑镇南驿后李村光交2-POS002-1:8,2014/9/11 15:23,2018/3/31 16:23,
