ID,地市,区县,资源名称,起点名称,终点名称,所属分支,长度,地图长度,业务级别,是否综合代维,维护难度系数,是否红线内,维护方式,代维公司名称,产权性质,产权单位,采集时间,采集人,工程状态,所属工程,长度减地图长度,地图长度减长度,修改人,修改时间,红线内光缆段数,红线外光缆段数,是否红线内为空光缆段数,报表生成时间
"371000000000000021961871	",泰安市,高新区,泰安高新区校园监控【数据专线】-泉上2号杆-泰安高新区校园监控【数据专线】-泉上3号杆,泰安高新区校园监控【数据专线】-泉上2号杆,泰安高新区校园监控【数据专线】-泉上3号杆,,36.064,26.323,本地接入,否,平原+丘陵,是,代维,中国移动集团有限公司铁通山东分公司,自建,中国移动,2015/6/17 0:00,朱恒伟,现网,,9.741,-9.741,tt-gxwangyiping,2020/4/1 19:17,0,0,0,2020/9/22 1:25
"371000000000000022680358	",泰安市,岱岳区,泰安市岱岳区孔家庄接入杆路4号杆-泰安市岱岳区孔家庄接入杆路3号杆,泰安市岱岳区孔家庄接入杆路4号杆,泰安市岱岳区孔家庄接入杆路3号杆,,48.82,48.88,本地接入,否,平原+丘陵,否,代维,润建通信股份有限公司,自建,中国移动,2015/11/19 0:00,浙邮2,现网,,-0.06,0.06,zhaowei,2020/3/30 18:03,0,0,0,2020/9/22 1:25
"371000000000000026712200	",泰安市,宁阳县,泰安宁阳所里-高侯线杆路11号杆-泰安宁阳所里-高侯线杆路12号杆,泰安宁阳所里-高侯线杆路11号杆,泰安宁阳所里-高侯线杆路12号杆,泰安宁阳所里-高侯线杆路分支,58.847,58.847,本地接入,是,平原+丘陵,否,代维,浙江省邮电工程建设有限公司,自建,中国移动,2016/12/1 0:00,柴林菊,现网,,0,0,chailinju,2016/12/1 0:00,0,0,0,2020/9/22 1:25
