ID,地市,区县,资源名称,起点名称,终点名称,所属分支,长度,地图长度,业务级别,是否综合代维,维护难度系数,是否红线内,维护方式,代维公司名称,产权性质,产权单位,采集时间,采集人,工程状态,所属工程,长度减地图长度,地图长度减长度,修改人,修改时间,红线内光缆段数,红线外光缆段数,是否红线内为空光缆段数,报表生成时间,比例
"371000000000000030537440	",泰安市,岱岳区,泰磁线-泉上2号杆-泰磁线-泉上3号杆,泰磁线-泉上2号杆,泰磁线-泉上3号杆,,49.877,49.55,本地接入,否,平原+丘陵,是,代维,中国移动集团有限公司铁通山东分公司,租用,电力,2015/6/17 0:00,朱恒伟,现网,,0.327,-0.327,tt-dywangzhongyi,2020/3/13 9:11,0,0,0,2020/9/15 1:22,-0.66%
"371000000000000023076679	",泰安市,肥城市,泰安肥城市石横四村-石横新村杆路6号杆-泰安肥城市石横四村-石横新村杆路7号杆,泰安肥城市石横四村-石横新村杆路6号杆,泰安肥城市石横四村-石横新村杆路7号杆,泰安肥城市石横四村-石横新村杆路分支,48.989,63.181,本地接入,是,平原+丘陵,是,代维,中国移动集团有限公司铁通山东分公司,自建,中国移动,2015/7/16 0:00,浙邮1,现网,,-14.192,14.192,tt-fcliuyan,2020/3/17 18:40,0,0,0,2020/9/15 1:22,22.46%
"371000000000000021989568	",泰安市,岱岳区,泰安市岱岳区堰西岭小区14号杆-泰安市岱岳区堰西岭小区15号杆,泰安市岱岳区堰西岭小区14号杆,泰安市岱岳区堰西岭小区15号杆,,27.206,33.185,本地接入,否,平原+丘陵,是,代维,中国移动集团有限公司铁通山东分公司,租用,电力,2015/6/3 0:00,贾城同,现网,,-5.979,5.979,tt-dywangzhongyi,2020/3/13 9:11,0,0,0,2020/9/15 1:22,18.02%
